epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,1419.71,0.90555,0.81877,1.0695,0.84667,0.79461,0.85324,0.68686,0.82128,0.61393,0.9728,7.42322e-05,7.42322e-05,7.42322e-05
40,1457.91,0.88623,0.79391,1.06872,0.83877,0.78945,0.85308,0.68622,0.81746,0.60817,0.9715,7.30541e-05,7.30541e-05,7.30541e-05
41,1497.05,0.86719,0.76098,1.02947,0.87079,0.77757,0.85513,0.68634,0.81509,0.60522,0.97142,7.1876e-05,7.1876e-05,7.1876e-05
42,1536.83,0.92126,0.79711,1.06331,0.89198,0.76735,0.85807,0.68807,0.81258,0.60341,0.97056,7.06979e-05,7.06979e-05,7.06979e-05
43,1577.01,0.94962,0.81875,1.07122,0.87318,0.77978,0.85674,0.68996,0.80904,0.6035,0.96903,6.95198e-05,6.95198e-05,6.95198e-05
44,1616.04,0.92921,0.81242,1.0836,0.88665,0.78404,0.85601,0.69038,0.80551,0.60381,0.9676,6.83417e-05,6.83417e-05,6.83417e-05
45,1646.05,0.92546,0.786,1.06341,0.90482,0.77489,0.85605,0.69735,0.79869,0.60005,0.96377,6.71636e-05,6.71636e-05,6.71636e-05
46,1674.41,0.89124,0.76208,1.04019,0.92109,0.76527,0.85195,0.69427,0.79193,0.59342,0.96153,6.59855e-05,6.59855e-05,6.59855e-05
47,1702.46,0.88431,0.75825,1.06697,0.90479,0.77311,0.85438,0.69876,0.78568,0.58725,0.95905,6.48074e-05,6.48074e-05,6.48074e-05
48,1730.4,0.87886,0.76767,1.05924,0.89386,0.77611,0.85293,0.69806,0.78199,0.5821,0.95799,6.36293e-05,6.36293e-05,6.36293e-05
49,1758.28,0.91988,0.77758,1.04802,0.89606,0.77525,0.85497,0.7028,0.78082,0.58169,0.95844,6.24512e-05,6.24512e-05,6.24512e-05
50,1786.45,0.93088,0.75226,1.06166,0.88899,0.79112,0.86866,0.71006,0.78005,0.58182,0.95757,6.12731e-05,6.12731e-05,6.12731e-05
51,1814.43,0.88716,0.77214,1.06128,0.85797,0.81085,0.87043,0.7077,0.78074,0.58073,0.9573,6.0095e-05,6.0095e-05,6.0095e-05
52,1842.58,0.94466,0.76309,1.07115,0.87629,0.80511,0.8717,0.70943,0.77955,0.58084,0.95606,5.89169e-05,5.89169e-05,5.89169e-05
53,1870.24,0.8708,0.71121,1.043,0.87094,0.80564,0.8658,0.70642,0.77879,0.58091,0.95519,5.77388e-05,5.77388e-05,5.77388e-05
54,1899.07,0.90037,0.77205,1.06245,0.87155,0.81241,0.87975,0.71137,0.77619,0.58096,0.9541,5.65607e-05,5.65607e-05,5.65607e-05
55,1936.45,0.89365,0.747,1.04059,0.87475,0.8123,0.88257,0.71627,0.77422,0.57862,0.95284,5.53826e-05,5.53826e-05,5.53826e-05
56,1969.99,0.87976,0.76871,1.06355,0.87278,0.81124,0.88082,0.7207,0.76862,0.57493,0.94997,5.42045e-05,5.42045e-05,5.42045e-05
57,2002.98,0.86066,0.75237,1.04725,0.8899,0.80726,0.88381,0.72164,0.76276,0.56995,0.94773,5.30264e-05,5.30264e-05,5.30264e-05
58,2037.4,0.91005,0.76949,1.06211,0.8941,0.80955,0.88629,0.72296,0.76171,0.56422,0.94707,5.18483e-05,5.18483e-05,5.18483e-05
59,2071.34,0.90479,0.73487,1.03638,0.89193,0.81458,0.8876,0.72249,0.75932,0.55987,0.94555,5.06702e-05,5.06702e-05,5.06702e-05
60,2105.63,0.89789,0.77718,1.0494,0.8886,0.81752,0.88894,0.72344,0.75751,0.55547,0.9447,4.94921e-05,4.94921e-05,4.94921e-05
61,2139.56,0.84178,0.70807,1.03138,0.88735,0.81683,0.88965,0.72488,0.75592,0.55433,0.94388,4.8314e-05,4.8314e-05,4.8314e-05
62,2173.7,0.87983,0.73854,1.04872,0.876,0.82623,0.88939,0.72886,0.75282,0.55211,0.94166,4.71359e-05,4.71359e-05,4.71359e-05
63,2207.18,0.87384,0.69298,1.02792,0.87617,0.82849,0.8891,0.72908,0.75052,0.55167,0.94085,4.59578e-05,4.59578e-05,4.59578e-05
64,2240.58,0.90703,0.72711,1.02938,0.87799,0.83336,0.89017,0.72896,0.74978,0.5535,0.94074,4.47797e-05,4.47797e-05,4.47797e-05
65,2274.04,0.88788,0.73192,1.03974,0.87722,0.82816,0.88784,0.72804,0.74758,0.55473,0.94058,4.36016e-05,4.36016e-05,4.36016e-05
66,2307.38,0.90433,0.75338,1.04524,0.87726,0.82792,0.88859,0.72894,0.74417,0.55032,0.93887,4.24235e-05,4.24235e-05,4.24235e-05
67,2340.22,0.85682,0.7483,1.04713,0.87392,0.82795,0.88948,0.7258,0.74285,0.54784,0.93789,4.12454e-05,4.12454e-05,4.12454e-05
68,2373.2,0.82765,0.69712,1.03268,0.87599,0.82663,0.88717,0.72453,0.73982,0.54423,0.93716,4.00673e-05,4.00673e-05,4.00673e-05
69,2407.59,0.8607,0.73466,1.04122,0.90251,0.80638,0.88447,0.72637,0.73811,0.542,0.93643,3.88892e-05,3.88892e-05,3.88892e-05
70,2442.32,0.87376,0.71626,1.04924,0.90551,0.80403,0.88226,0.72864,0.73691,0.53862,0.93579,3.77111e-05,3.77111e-05,3.77111e-05
